time="2021-10-22T10:46:21+08:00" level=info msg="service start ... "
time="2021-10-22T10:46:21+08:00" level=warning msg="open configs/last.json: The system cannot find the file specified."
time="2021-10-22T10:46:21+08:00" level=info msg="load default config"
time="2021-10-22T10:48:30+08:00" level=trace msg="not exist"
time="2021-10-22T10:48:44+08:00" level=trace msg="not exist"
time="2021-10-22T10:48:52+08:00" level=trace msg="not exist"
time="2021-10-22T10:50:30+08:00" level=trace msg="not exist"
time="2021-10-22T10:57:49+08:00" level=trace msg="already exist"
time="2021-10-22T10:57:56+08:00" level=trace msg="already exist"
time="2021-10-22T10:58:40+08:00" level=trace msg="cannot set array element for non-numeric key 'cv'"
time="2021-10-22T10:59:33+08:00" level=trace msg="not exist"
time="2021-10-22T11:00:11+08:00" level=trace msg="not exist"
time="2021-10-22T11:07:12+08:00" level=trace msg="not exist"
time="2021-10-22T11:08:28+08:00" level=trace msg="not exist"
time="2021-10-22T11:09:00+08:00" level=trace msg="not exist"
time="2021-10-22T11:09:35+08:00" level=trace msg="not exist"
time="2021-10-22T11:09:51+08:00" level=trace msg="not exist"
time="2021-10-22T11:10:04+08:00" level=trace msg="not exist"
